vertex_1,vertex_2,diameter,length,flow_rate,rbc_velocity,ht,rbc_probability
60,203,3.1187016964e-06,8.343320644789686e-05,-1.1954624206972559e-17,-1.695157699943036e-06,0.3,0.3333333333333333
60,89,3.2044537068e-06,8.313654896180189e-05,-7.251639372528717e-17,-9.848178887217306e-06,0.3,0.3333333333333333
61,155,3.987046480199999e-06,9.011804003319408e-05,-2.186546128989764e-18,-2.08546599449833e-07,0.3,0.3333333333333333
61,131,5.2152314186e-06,2.155974897445605e-05,2.1347774355873526e-17,1.2931299409853923e-06,0.3,0.3333333333333333
61,6554,4.6778330802e-06,6.280166070371632e-05,-1.916122822688346e-17,-1.3992695400968558e-06,0.3,0.3333333333333333
62,160,4.7375469208e-06,0.0001075541623125,-1.3094390862254535e-16,-9.358206467776484e-06,0.3,0.3333333333333333
62,142,5.279498100199999e-06,7.57975319575053e-05,6.970107975704871e-17,4.132970890923753e-06,0.3,0.3333333333333333
62,258,3.7128562928e-06,3.74380641519669e-05,6.124282886549575e-17,6.562906521994784e-06,0.3,0.3333333333333333
63,215,8.528883934e-06,0.0001625047582166,-2.5940968536610844e-16,-6.3740746360301785e-06,0.3,0.3333333333333333
63,76,5.8238891602e-05,5.063081678632153e-05,-2.9996647707525428e-15,-1.4039059778972624e-06,0.3,0.3333333333333333
63,214,5e-05,0.0001081173110753,3.259074456124544e-15,2.111847955596929e-06,0.3,0.3333333333333333
64,113,9e-06,7.640522711209203e-05,-9.388561223939662e-16,-2.079442458018337e-05,0.3,0.3333333333333333
64,171,4.2097854614e-06,4.997323357897013e-05,-2.2466468283086708e-17,-1.9585657582689366e-06,0.3,0.3333333333333333
64,69,1e-05,5.58009317458573e-05,9.613225906770485e-16,1.73311888573487e-05,0.3,0.3333333333333333
65,78,4.931825161e-06,4.184887792598798e-05,-2.2379163324268995e-16,-1.493103816425664e-05,0.3,0.3333333333333333
65,306,3.7132239342e-06,0.0001193626225929,5.1920667557807904e-17,5.563029296794493e-06,0.3,0.3333333333333333
65,82,3.4124569892e-06,3.782696920902816e-05,2.3710734150822243e-17,2.91185747390642e-06,0.3,0.3333333333333333
66,382,4.2158837318e-06,0.0001093913308866,-5.1113731599369097e-17,-4.4452458416968125e-06,0.3,0.3333333333333333
66,74,4.4392352104e-06,1.77566303550217e-05,8.10678393622615e-18,6.467498495759049e-07,0.3,0.3333333333333333
66,169,3.7579767704e-06,3.221660322394843e-05,4.3006947663142705e-17,4.519020943892985e-06,0.3,0.3333333333333333
67,72,4.4e-05,7.677222345219346e-05,2.4619346137612984e-15,2.092944850549213e-06,0.3,0.3333333333333333
67,157,4.4e-05,0.0001332144163503,-2.0873954678673177e-15,-1.7745408716838703e-06,0.3,0.3333333333333333
67,6566,7.020605087199999e-06,0.0001127775651131,-3.7453914589405533e-16,-1.3294083728875633e-05,0.3,0.3333333333333333
68,6554,3.3187236786e-06,2.629519957037693e-05,-9.33533026720079e-17,-1.1987953119626567e-05,0.3,1.0
68,116,4.215362071999999e-06,4.263081678632152e-05,1.0919664159443891e-16,9.498539543929726e-06,0.3,1.0
69,76,4.8e-05,7.226163357264306e-05,5.16320074491458e-15,3.649168939043303e-06,0.3,0.3200321034484808
69,125,4.8e-05,7.399295542235292e-05,-4.201878154235665e-15,-2.9697398965523023e-06,0.3,0.6799678965515192
70,83,5.049432277599999e-06,1.7928203230275506e-05,-6.615774547042083e-17,-4.2383202776815535e-06,0.3,0.3333333333333333
